(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(233793, 7, 5);[5, 400, 300, 80, 5];790;התשפה;61587;(4, 26, 62, 20, 61587);להם;2;(4, 26, 62, 71, 233793);ויהיו פקדיהם שלשה ועשרים אלף כל זכר מבן חדש ומעלה כי לא התפקדו בתוך בני ישראל כי לא נתן להם נחלה בתוך בני ישראל
(228231, 12, 5);[5, 400, 300, 80, 5];790;התשפה;60213;(4, 23, 13, 14, 60213);קצהו;3;(4, 23, 13, 45, 228231);ויאמר אליו בלק לך נא אתי אל מקום אחר אשר תראנו משם אפס קצהו תראה וכלו לא תראה וקבנו לי משם
(175026, 20, 5);[5, 400, 300, 80, 5];790;התשפה;46353;(3, 22, 9, 13, 46353);יהוה;4;(3, 22, 9, 48, 175026);ושמרו את משמרתי ולא ישאו עליו חטא ומתו בו כי יחללהו אני יהוה מקדשם
(277441, 32, 5);[5, 400, 300, 80, 5];790;התשפה;72764;(5, 16, 16, 10, 72764);אלהיך;3;(5, 16, 16, 36, 277441);שלוש פעמים בשנה יראה כל זכורך את פני יהוה אלהיך במקום אשר יבחר בחג המצות ובחג השבעות ובחג הסכות ולא יראה את פני יהוה ריקם
(94698, 36, 5);[5, 400, 300, 80, 5];790;התשפה;24991;(2, 12, 14, 3, 24991);הזה;1;(2, 12, 14, 9, 94698);והיה היום הזה לכם לזכרון וחגתם אתו חג ליהוה לדרתיכם חקת עולם תחגהו
(109381, 40, 5);[5, 400, 300, 80, 5];790;התשפה;28919;(2, 21, 31, 8, 28919);הזה;1;(2, 21, 31, 20, 109381);או בן יגח או בת יגח כמשפט הזה יעשה לו
(16713, 50, 5);[5, 400, 300, 80, 5];790;התשפה;4478;(1, 14, 13, 5, 4478);העברי;1;(1, 14, 13, 19, 16713);ויבא הפליט ויגד לאברם העברי והוא שכן באלני ממרא האמרי אחי אשכל ואחי ענר והם בעלי ברית אברם
(190993, 55, 5);[5, 400, 300, 80, 5];790;התשפה;50396;(4, 3, 16, 8, 50396);צוה;3;(4, 3, 16, 26, 190993);ויפקד אתם משה על פי יהוה כאשר צוה
(266945, 61, 5);[5, 400, 300, 80, 5];790;התשפה;70056;(5, 9, 24, 4, 70056);יהוה;4;(5, 9, 24, 16, 266945);ממרים הייתם עם יהוה מיום דעתי אתכם
(201280, 70, 5);[5, 400, 300, 80, 5];790;התשפה;53066;(4, 7, 67, 15, 53066);שניהם;4;(4, 7, 67, 59, 201280);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
