(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(91306, 1, 5);[5, 80, 300, 400, 5];790;התשפה;24066;(2, 9, 31, 1, 24066);והפשתה;2;(2, 9, 31, 2, 91306);והפשתה והשערה נכתה כי השערה אביב והפשתה גבעל
(91333, 1, 5);[5, 80, 300, 400, 5];790;התשפה;24072;(2, 9, 31, 7, 24072);והפשתה;2;(2, 9, 31, 29, 91333);והפשתה והשערה נכתה כי השערה אביב והפשתה גבעל
(158496, 1, 5);[5, 80, 300, 400, 5];790;התשפה;41834;(3, 13, 8, 3, 41834);והנה;4;(3, 13, 8, 12, 158496);וראה הכהן והנה פשתה המספחת בעור וטמאו הכהן צרעת הוא
(190900, 21, 5);[5, 80, 300, 400, 5];790;התשפה;50370;(4, 3, 14, 2, 50370);יהוה;2;(4, 3, 14, 7, 190900);וידבר יהוה אל משה במדבר סיני לאמר
(117731, 25, 5);[5, 80, 300, 400, 5];790;התשפה;31081;(2, 27, 11, 14, 31081);העמדים;1;(2, 27, 11, 56, 117731);וכן לפאת צפון בארך קלעים מאה ארך ועמדו עשרים ואדניהם עשרים נחשת ווי העמדים וחשקיהם כסף
(110651, 29, 5);[5, 80, 300, 400, 5];790;התשפה;29289;(2, 22, 23, 6, 29289);והיו;2;(2, 22, 23, 23, 110651);וחרה אפי והרגתי אתכם בחרב והיו נשיכם אלמנות ובניכם יתמים
(72109, 48, 5);[5, 80, 300, 400, 5];790;התשפה;19064;(1, 47, 4, 15, 19064);הרעב;1;(1, 47, 4, 52, 72109);ויאמרו אל פרעה לגור בארץ באנו כי אין מרעה לצאן אשר לעבדיך כי כבד הרעב בארץ כנען ועתה ישבו נא עבדיך בארץ גשן
(106701, 53, 5);[5, 80, 300, 400, 5];790;התשפה;28174;(2, 19, 20, 8, 28174);ההר;1;(2, 19, 20, 22, 106701);וירד יהוה על הר סיני אל ראש ההר ויקרא יהוה למשה אל ראש ההר ויעל משה
(77735, 54, 5);[5, 80, 300, 400, 5];790;התשפה;20528;(1, 50, 21, 1, 20528);ועתה;4;(1, 50, 21, 4, 77735);ועתה אל תיראו אנכי אכלכל אתכם ואת טפכם וינחם אותם וידבר על לבם
(135670, 59, 5);[5, 80, 300, 400, 5];790;התשפה;35777;(2, 37, 19, 11, 35777);בקנה;4;(2, 37, 19, 51, 135670);שלשה גבעים משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה
(164061, 60, 5);[5, 80, 300, 400, 5];790;התשפה;43362;(3, 14, 51, 17, 43362);השחוטה;6;(3, 14, 51, 62, 164061);ולקח את עץ הארז ואת האזב ואת שני התולעת ואת הצפר החיה וטבל אתם בדם הצפר השחוטה ובמים החיים והזה אל הבית שבע פעמים
(48766, 63, 5);[5, 80, 300, 400, 5];790;התשפה;12993;(1, 33, 12, 2, 12993);נסעה;4;(1, 33, 12, 9, 48766);ויאמר נסעה ונלכה ואלכה לנגדך
(138002, 67, 5);[5, 80, 300, 400, 5];790;התשפה;36359;(2, 39, 3, 11, 36359);הארגמן;1;(2, 39, 3, 44, 138002);וירקעו את פחי הזהב וקצץ פתילם לעשות בתוך התכלת ובתוך הארגמן ובתוך תולעת השני ובתוך השש מעשה חשב
(191952, 67, 5);[5, 80, 300, 400, 5];790;התשפה;50617;(4, 3, 38, 9, 50617);משה;3;(4, 3, 38, 38, 191952);והחנים לפני המשכן קדמה לפני אהל מועד מזרחה משה ואהרן ובניו שמרים משמרת המקדש למשמרת בני ישראל והזר הקרב יומת
(277468, 69, 5);[5, 80, 300, 400, 5];790;התשפה;72771;(5, 16, 16, 17, 72771);השבעות;1;(5, 16, 16, 63, 277468);שלוש פעמים בשנה יראה כל זכורך את פני יהוה אלהיך במקום אשר יבחר בחג המצות ובחג השבעות ובחג הסכות ולא יראה את פני יהוה ריקם
(232535, 79, 5);[5, 80, 300, 400, 5];790;התשפה;61300;(4, 26, 35, 1, 61300);אלה;3;(4, 26, 35, 3, 232535);אלה בני אפרים למשפחתם לשותלח משפחת השתלחי לבכר משפחת הבכרי לתחן משפחת התחני
